design,target,flow,environment,status,scope,cells,area_um2,wns,tns,internal_power_mw,switching_power_mw,leakage_power_mw,total_power_mw,report_path,notes
full_core_baseline,nangate45,yosys+opensta-liberty,local_windows,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/asic_power_availability.log,"BLOCKED: no real full-core RTL integration is present, so no full-core ASIC power row is claimed."
full_core_plus_copper,nangate45,yosys+opensta-liberty,local_windows,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/asic_power_availability.log,"BLOCKED: no real full-core RTL integration is present, so no full-core ASIC power row is claimed."
baseline_core_wrapper,nangate45,yosys+opensta-liberty,local_windows,BLOCKED,core_wrapper,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/asic_power_availability.log,BLOCKED: ASIC Liberty power requires OpenSTA `sta` or OpenROAD on PATH. No standard-cell power is inferred.
core_wrapper_plus_copper,nangate45,yosys+opensta-liberty,local_windows,BLOCKED,core_wrapper,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/asic_power_availability.log,BLOCKED: ASIC Liberty power requires OpenSTA `sta` or OpenROAD on PATH. No standard-cell power is inferred.
full_core_baseline,nangate45,yosys+opensta-liberty,github_actions,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/full_core_baseline.log,"BLOCKED: no real full-core RTL integration is present, so no full-core ASIC power row is claimed."
full_core_plus_copper,nangate45,yosys+opensta-liberty,github_actions,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/asic_power/full_core_plus_copper.log,"BLOCKED: no real full-core RTL integration is present, so no full-core ASIC power row is claimed."
baseline_core_wrapper,nangate45,yosys+opensta-liberty,github_actions,PASS,core_wrapper,9052,6.384000,10.94,0.00,0.522,0.103,0.308,0.934,research/results/logs/asic_power/baseline_core_wrapper.log,"Nangate45 standard-cell Liberty tool estimate from Yosys mapping plus opensta; clock_period_ns=20.0; global_activity=0.10. This is not silicon measurement, not post-route signoff with extracted parasitics, and not full-core power."
core_wrapper_plus_copper,nangate45,yosys+opensta-liberty,github_actions,PASS,core_wrapper,10796,57.456000,10.79,0.00,0.664,0.12,0.398,1.18,research/results/logs/asic_power/core_wrapper_plus_copper.log,"Nangate45 standard-cell Liberty tool estimate from Yosys mapping plus opensta; clock_period_ns=20.0; global_activity=0.10. This is not silicon measurement, not post-route signoff with extracted parasitics, and not full-core power."
