evidence_id,scope,design,target,flow,environment,status,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,report_path,notes
fullcore_full_core_full_core_baseline_picorv32_tiny_soc_yosys_local_windows,full_core,full_core_baseline,picorv32_tiny_soc,yosys,local_windows,PASS,15276,3529,,,15276,,,,,,research/results/logs/fullcore_synthesis/full_core_baseline.log,Matched full_core generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_full_core_full_core_plus_copper_picorv32_tiny_soc_yosys_local_windows,full_core,full_core_plus_copper,picorv32_tiny_soc,yosys,local_windows,PASS,17916,4056,,,17916,,,,,,research/results/logs/fullcore_synthesis/full_core_plus_copper.log,Matched full_core generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_accepted_core_wrapper_baseline_core_wrapper_picorv32_core_wrapper_yosys_local_windows,accepted_core_wrapper,baseline_core_wrapper,picorv32_core_wrapper,yosys,local_windows,PASS,8595,1433,,,8595,,,,,,research/results/logs/fullcore_synthesis/baseline_core_wrapper.log,Matched accepted_core_wrapper generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_accepted_core_wrapper_core_wrapper_plus_baseline_prefetch_picorv32_core_wrapper_yosys_local_windows,accepted_core_wrapper,core_wrapper_plus_baseline_prefetch,picorv32_core_wrapper,yosys,local_windows,PASS,8756,1433,,,8756,,,,,,research/results/logs/fullcore_synthesis/core_wrapper_plus_baseline_prefetch.log,Matched accepted_core_wrapper generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_accepted_core_wrapper_core_wrapper_plus_copper_picorv32_core_wrapper_yosys_local_windows,accepted_core_wrapper,core_wrapper_plus_copper,picorv32_core_wrapper,yosys,local_windows,PASS,11055,1960,,,11055,,,,,,research/results/logs/fullcore_synthesis/core_wrapper_plus_copper.log,Matched accepted_core_wrapper generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_near_core_stub_nearcore_stub_baseline_generic_yosys_local_windows,near_core_stub,nearcore_stub_baseline,generic,yosys,local_windows,PASS,254,59,,,254,,,,,,research/results/logs/fullcore_synthesis/nearcore_stub_baseline.log,Matched near_core_stub generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
fullcore_near_core_stub_nearcore_stub_plus_copper_generic_yosys_local_windows,near_core_stub,nearcore_stub_plus_copper,generic,yosys,local_windows,PASS,2694,652,,,2694,,,,,,research/results/logs/fullcore_synthesis/nearcore_stub_plus_copper.log,Matched near_core_stub generic Yosys resource row. Fmax/WNS/TNS/power_mw are blank because no mapped timing or power report was run.
