design,target,flow,environment,status,scope,cells,area_um2,die_area_um2,utilization_pct,wns,tns,fmax_mhz,internal_power_mw,switching_power_mw,leakage_power_mw,total_power_mw,report_path,final_report_json_path,final_def_path,final_spef_path,final_netlist_path,route_drc_path,physical_artifacts,parasitics_present,orfs_ref,notes
full_core_baseline,nangate45,openroad-flow-scripts-postroute,local_windows,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/openroad_postroute/openroad_postroute_availability.log,,,,,,no,no,8ae3ae362e2e9be94ab1d27b3dd647c8328a783f,BLOCKED: PicoRV32 tiny-SoC full-core OpenROAD evidence requires matched full_core_baseline/full_core_plus_copper sources and a working OpenROAD post-route flow.
full_core_plus_copper,nangate45,openroad-flow-scripts-postroute,local_windows,BLOCKED,full_core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/openroad_postroute/openroad_postroute_availability.log,,,,,,no,no,8ae3ae362e2e9be94ab1d27b3dd647c8328a783f,BLOCKED: PicoRV32 tiny-SoC full-core OpenROAD evidence requires matched full_core_baseline/full_core_plus_copper sources and a working OpenROAD post-route flow.
baseline_core_wrapper,nangate45,openroad-flow-scripts-postroute,local_windows,BLOCKED,core_wrapper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/openroad_postroute/openroad_postroute_availability.log,,,,,,no,no,8ae3ae362e2e9be94ab1d27b3dd647c8328a783f,BLOCKED: OpenROAD post-route flow requires openroad on PATH.
core_wrapper_plus_copper,nangate45,openroad-flow-scripts-postroute,local_windows,BLOCKED,core_wrapper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research/results/logs/openroad_postroute/openroad_postroute_availability.log,,,,,,no,no,8ae3ae362e2e9be94ab1d27b3dd647c8328a783f,BLOCKED: OpenROAD post-route flow requires openroad on PATH.
