policy,roi_ticks,insts_not_nop,l1d_demand_misses,checksum,rc,rows,lookups,updates,traversals,poison,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,101740935888,164177814,502848,0x2e53ef0,0,1024,2400,1024,2400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
stride,98612452170,164183403,390898,0x2e53ef0,0,1024,2400,1024,2400,1,159433,114046,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.075,-22.263
naive,101580798519,164177814,502763,0x2e53ef0,0,1024,2400,1024,2400,1,87880,7865,101339,4212,0,101339,0,65378,0,65378,13457,0,0,0,0,-0.157,-0.017
copper_clpd64k_peb,101603853774,164177801,501448,0x2e53ef0,0,1024,2400,1024,2400,1,60140,7282,101181,3083,0,61381,39800,42299,0,42299,1241,99692,2,18375,0,-0.135,-0.278
dcpt,96922417230,164164100,335180,0x2e53ef0,0,1024,2400,1024,2400,1,1835191,188156,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.736,-33.344
spp,94892165181,164162240,301029,0x2e53ef0,0,1024,2400,1024,2400,1,1836666,273072,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.732,-40.135
ampm,97044557967,164160890,448634,0x2e53ef0,0,1024,2400,1024,2400,1,2024342,230109,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.616,-10.781
spp_copper_slack,94670430471,164165269,298929,0x2e53ef0,0,1024,2400,1024,2400,1,2012765,281826,197314,2496,0,34237,163077,24083,0,24083,1140,129893,2,10299,0,-6.950,-40.553
