policy,roi_ticks,insts_not_nop,l1d_demand_misses,checksum,rc,rows,lookups,updates,traversals,poison,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,202077116604,319029121,878862,0x3928cced,0,2048,4800,2048,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
stride,194787347670,319020820,670500,0x3928cced,0,2048,4800,2048,4800,1,288145,211007,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.607,-23.708
naive,201569925636,319013778,883809,0x3928cced,0,2048,4800,2048,4800,1,164639,9690,180188,7706,0,180188,0,116946,0,116946,15547,0,0,0,0,-0.251,0.563
copper_clpd64k_peb,201696158610,319013765,881694,0x3928cced,0,2048,4800,2048,4800,1,107077,9089,174917,5523,0,108552,66365,73128,0,73128,1475,186126,2,18375,0,-0.189,0.322
dcpt,190147443219,318997139,573514,0x3928cced,0,2048,4800,2048,4800,1,3312113,344258,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.904,-34.744
spp,185132381634,318987525,547519,0x3928cced,0,2048,4800,2048,4800,1,3218828,472305,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.385,-37.701
ampm,189765881496,318996448,748877,0x3928cced,0,2048,4800,2048,4800,1,2902560,376841,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.092,-14.790
spp_copper_slack,184405728681,318993628,536633,0x3928cced,0,2048,4800,2048,4800,1,3512078,502125,364636,3703,0,63201,301435,42359,0,42359,1559,235997,2,10299,0,-8.745,-38.940
