policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,queries,updates,rounds,seed,poison,bytes,yyjson_version,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,72752492016,112229717,933617,46362001,91438,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
stride,72164640123,112228575,908107,46360979,106323,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,55752,27984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.808,-2.732
naive,72677932650,112226125,925283,46360002,91429,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,74485,18032,107690,998,0,107690,0,61414,0,61414,33203,0,0,0,0,-0.102,-0.893
copper_clpd64k_peb,72694647918,112226177,926323,46360010,91396,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,66385,15412,114186,773,0,69246,44940,54247,0,54247,2861,172481,2,19975,0,-0.080,-0.781
dcpt,71744139711,112228253,950652,46360833,110897,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,1205545,110537,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.386,1.825
spp,70141908879,112214382,596699,46355278,130912,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,5530146,707152,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.588,-36.087
ampm,71403711480,112225228,898132,46359398,122294,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,3293827,430210,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.854,-3.801
spp_copper_slack,70116427053,112218855,584460,46357304,132945,0x349368bc3162ec49,0,1024,2400,1024,1,4,1,105776,3072,5483115,702639,280232,414,0,58166,222066,36811,0,36811,1144,323468,2,10659,0,-3.623,-37.398
