policy,roi_ticks,insts_not_nop,l1d_demand_misses,checksum,rc,input_records,limit,inserted,duplicates,lookups,rounds,seed,found,misses,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,allowedCandidates,blockedNoProvenance,fillPrefetchTranslationFault,targetLineWitnessMisses,boundaryAuthorityEntriesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,21899607138,101016983,302886,0x11f999a2549d757f,0,2048,2048,2048,0,4096,1,0,4096,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,21922426296,100989719,288912,0x11f999a2549d757f,0,2048,2048,2048,0,4096,1,0,4096,0,24325,809,38349,3906,38349,0,0,14014,0,0.104,-4.614
copper_clpd64k_peb,21924058995,100989927,289122,0x11f999a2549d757f,0,2048,2048,2048,0,4096,1,0,4096,0,19952,452,40071,3039,20133,19938,0,181,17973,0.112,-4.544
spp,19206605169,100781679,165429,0x11f999a2549d757f,0,2048,2048,2048,0,4096,1,0,4096,0,805468,137362,0,0,0,0,0,0,0,-12.297,-45.382
spp_copper_slack,19213131303,100781679,162138,0x11f999a2549d757f,0,2048,2048,2048,0,4096,1,0,4096,0,810973,137420,83933,1985,6588,77345,0,422,10185,-12.267,-46.469
