policy,roi_ticks,insts_not_nop,l1d_demand_misses,checksum,rc,records,iterations,scan_depth,rounds,seed,poison,buffers,total_bytes,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,allowedCandidates,blockedNoProvenance,fillPrefetchTranslationFault,targetLineWitnessMisses,boundaryAuthorityEntriesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,16112771100,20287121,249763,0x8f37fdbf14f45f13,0,128,16,8,1,0,1,4,261120,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,16097612940,20287121,247229,0x8f37fdbf14f45f13,0,128,16,8,1,0,1,4,261120,29153,5273,45508,1461,45508,0,0,16353,0,-0.094,-1.015
copper_clpd64k_peb,16087479084,20283906,246002,0x8f37fdbf14f45f13,0,128,16,8,1,0,1,4,261120,27614,5121,59511,1458,28871,30640,0,1257,17735,-0.157,-1.506
spp,13983831504,20326249,130153,0x8f37fdbf14f45f13,0,128,16,8,1,0,1,4,261120,1093082,147592,0,0,0,0,0,0,0,-13.213,-47.889
spp_copper_slack,13990328001,20326279,130323,0x8f37fdbf14f45f13,0,128,16,8,1,0,1,4,261120,1105274,147933,116229,1088,27159,89070,0,1093,10181,-13.172,-47.821
