policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,updates,traversals,seed,poison,pfIssued,pfUseful,pfUnused,pfIdentified,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,18915096969,25736651,231053,9685668,110774,0x5e756776,0,1024,3000,1024,3000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,18613851183,25737816,222194,9686083,112189,0x5e756776,0,1024,3000,1024,3000,1,1,42492,9871,12900,42492,55957,2927,0,55957,0,27543,0,13463,27543,13463,0,0,0,0,-1.593,-3.834
copper_clpd64k_peb,18551022741,25737325,217470,9685905,111963,0x5e756776,0,1024,3000,1024,3000,1,1,41641,14299,13627,41641,74931,2706,0,42116,32815,20940,0,475,20940,475,38839,2,17958,0,-1.925,-5.879
spp,15468764751,25726929,89707,9681600,145351,0x5e756776,0,1024,3000,1024,3000,1,1,1032778,154055,139181,1138156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.220,-61.175
spp_copper_slack,15544831275,25726800,91290,9681523,151903,0x5e756776,0,1024,3000,1024,3000,1,1,1038199,152965,295806,1167948,136916,1864,0,13830,123086,8382,0,186,8382,186,48796,2,10208,0,-17.818,-60.490
