policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,updates,traversals,seed,poison,pfIssued,pfUseful,pfUnused,pfIdentified,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,38162873925,46795326,393726,17764424,281427,0xb0f65a6,0,2048,6000,2048,6000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,37429964568,46795483,378625,17764462,291804,0xb0f65a6,0,2048,6000,2048,6000,1,1,84132,17052,25002,84132,97148,5999,0,97148,0,49949,0,13014,49949,13014,0,0,0,0,-1.920,-3.835
copper_clpd64k_peb,37194868899,46791037,368926,17762719,290672,0xb0f65a6,0,2048,6000,2048,6000,1,1,96362,26399,25415,96362,137912,5498,0,97146,40766,44004,0,784,44004,784,72175,2,17958,0,-2.537,-6.299
spp,27504914220,46772514,156527,17755426,354280,0xb0f65a6,0,2048,6000,2048,6000,1,1,1943237,256618,246159,2155354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.928,-60.245
spp_copper_slack,27214588503,46771070,150543,17754866,358169,0xb0f65a6,0,2048,6000,2048,6000,1,1,1971855,263038,520892,2196620,255314,2751,0,23297,232017,15424,0,364,15424,364,72778,2,10208,0,-28.688,-61.765
