policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,items,requests,scan_depth,rounds,seed,poison,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,4190362776,3736831,57737,1171387,46754,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
stride,3911044041,3733089,48227,1169409,51612,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,20484,10838,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.666,-16.471
naive,4174511310,3733676,57722,1169612,46677,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,2191,338,6312,586,0,6312,0,1920,0,1920,4119,0,0,0,0,-0.378,-0.026
copper_clpd64k_peb,4179007143,3733676,57578,1169612,46628,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,1337,227,6950,512,0,1361,5589,1195,0,1195,24,2148,2,17736,0,-0.271,-0.275
dcpt,3728286315,3736165,41068,1170902,53766,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,205440,19782,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.027,-28.871
spp,3640780908,3732512,38252,1168704,57874,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,170281,27581,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.115,-33.748
ampm,3722779827,3735144,44624,1170222,59390,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,269426,28603,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.159,-22.712
spp_copper_slack,3642011010,3732731,38242,1168784,57911,0x3d38f00f0464cb72,0,512,1024,64,1,2,1,171485,27758,11155,407,0,1188,9967,1028,0,1028,26,2850,2,10192,0,-13.086,-33.765
