policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,traversals,rounds,seed,poison,bytes,version,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,25078093803,40027649,219785,11904226,127897,0x9fd47fcc9c9a69df,0,2048,4800,4800,1,3,1,290370,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,25021646640,40028985,219138,11904718,127290,0x9fd47fcc9c9a69df,0,2048,4800,4800,1,3,1,290370,3072,15423,780,19813,587,0,19813,0,15184,0,15184,4388,0,0,0,0,-0.225,-0.294
copper_clpd64k_peb,25034395212,40028967,219171,11904722,126998,0x9fd47fcc9c9a69df,0,2048,4800,4800,1,3,1,290370,3072,13592,648,20930,589,0,13627,7303,13393,0,13393,35,18197,2,18356,0,-0.174,-0.279
spp,20704439835,40050298,82109,11912093,200051,0x9fd47fcc9c9a69df,0,2048,4800,4800,1,3,1,290370,3072,1206817,152308,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.440,-62.641
spp_copper_slack,20684435859,40050305,81610,11912099,189674,0x9fd47fcc9c9a69df,0,2048,4800,4800,1,3,1,290370,3072,1189205,152771,41613,279,0,1132,40481,806,0,806,106,1812,2,10358,0,-17.520,-62.868
