policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,ranges,updates,payload_rows,seed,poison,pfIssued,pfUseful,pfUnused,pfIdentified,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,105062218281,124590299,1096959,54098615,219064,0xa49d4f3a338e0034,0,4096,12000,512,2048,4096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,105060171330,124590349,1095239,54098623,220949,0xa49d4f3a338e0034,0,4096,12000,512,2048,4096,1,1,93722,22916,48380,93722,134847,4137,0,134847,0,72116,0,41123,72116,41123,0,0,0,0,-0.002,-0.157
copper_clpd64k_peb,105068657169,124590320,1094123,54098622,220116,0xa49d4f3a338e0034,0,4096,12000,512,2048,4096,1,1,101589,22647,43180,101589,157721,2554,0,105565,52156,69420,0,3976,69420,3976,236271,2,19640,0,0.006,-0.259
spp,102292526079,124572587,836291,54091065,417814,0xa49d4f3a338e0034,0,4096,12000,512,2048,4096,1,1,2254187,471312,557257,2643283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.636,-23.763
spp_copper_slack,102290137137,124572551,842007,54091065,416824,0xa49d4f3a338e0034,0,4096,12000,512,2048,4096,1,1,2343311,480863,1187748,2738331,264023,1135,0,94450,169573,56353,0,5581,56353,5581,245759,2,10412,0,-2.639,-23.242
