policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,ranges,updates,payload_rows,seed,poison,pfIssued,pfUseful,pfUnused,pfIdentified,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,52357757166,62972508,533136,27292889,111320,0x7a0f81952b38dd17,0,2048,6000,256,1024,2048,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
naive,52357882374,62972508,532180,27292889,111752,0x7a0f81952b38dd17,0,2048,6000,256,1024,2048,2,1,39312,10084,17693,39312,58526,2272,0,58526,0,30376,0,19212,30376,19212,0,0,0,0,0.000,-0.179
copper_clpd64k_peb,52357131126,62972508,531281,27292889,111580,0x7a0f81952b38dd17,0,2048,6000,256,1024,2048,2,1,42948,10408,15764,42948,69197,1265,0,44819,24378,29982,0,1871,29982,1871,104478,2,19640,0,-0.001,-0.348
spp,50496133320,62968525,402656,27291446,164149,0x7a0f81952b38dd17,0,2048,6000,256,1024,2048,2,1,1146139,234445,258587,1374809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.556,-24.474
spp_copper_slack,50525333424,62968514,405940,27291456,164281,0x7a0f81952b38dd17,0,2048,6000,256,1024,2048,2,1,1177629,237465,550894,1401414,115693,728,0,40816,74877,24685,0,2139,24685,2139,107031,2,10412,0,-3.500,-23.858
